 Date  ,Year,Month,State,City,Metro City,Age Group,Education_Level,Family Background,Labour Force,Employed People,Unemployed People,Male Unemployed,Female Unemployed,Unemployement Rate ,Urban Unemployement ,Rural Unemployement ,Youth Unemployement 
2021-02,2021,Feb,Gujarat,Mumbai,Yes,55-60,Higher Secondary,Poor,25890466,23244940,2645526,1827688,817838,10.22,11.30,8.87,14.60
2021-03,2021,Mar,Gujarat,Pune,Yes,45-54,Primary School,Poor,27351178,24972625,2378553,1585790,792763,8.70,9.94,7.15,11.57
2021-04,2021,Apr,Gujarat,Bangalore,Yes,35-44,Undergraduate,Rich,26420597,25222436,1198161,706436,491725,4.53,3.65,4.54,7.83
2021-05,2021,May,Gujarat,Delhi,Yes,35-44,No Formal Education,Lower Middle,27831697,25510122,2321575,1564305,757270,8.34,9.46,9.24,13.65
2021-06,2021,Jun,Gujarat,Non-Metro,No,55-60,Primary School,Upper Middle,27584928,25815223,1769705,1221159,548546,6.42,8.41,5.14,8.58
2021-07,2021,Jul,Gujarat,Kolkata,Yes,35-44,Postgraduate,Upper Middle,25249742,23995680,1254062,757533,496529,4.97,4.21,3.90,7.03
2021-08,2021,Aug,Gujarat,Mumbai,Yes,45-54,Secondary School,Lower Middle,25235752,23592441,1643311,1129760,513551,6.51,7.20,6.39,11.97
2021-09,2021,Sep,Gujarat,Non-Metro,No,25-34,Primary School,Poor,27817170,24960932,2856238,1895141,961097,10.27,10.44,8.95,14.66
2021-10,2021,Oct,Gujarat,Pune,Yes,45-54,Undergraduate,Upper Middle,27651453,24745410,2906043,2003341,902702,10.51,10.14,11.50,16.43
2021-11,2021,Nov,Gujarat,Non-Metro,No,35-44,Undergraduate,Lower Middle,27086443,24584492,2501951,1598680,903271,9.24,9.32,9.83,11.68
2021-12,2021,Dec,Gujarat,Pune,Yes,18-24,Secondary School,Upper Middle,27643140,25404425,2238715,1443403,795312,8.10,10.02,6.31,12.32
2022-01,2022,Jan,Gujarat,Hyderabad,Yes,25-34,No Formal Education,Poor,26287586,24052991,2234595,1297461,937134,8.50,10.35,6.68,13.24
2022-02,2022,Feb,Gujarat,Ahmedabad,Yes,45-54,Postgraduate,Lower Middle,25256478,23185835,2070643,1192100,878543,8.20,8.81,7.66,11.81
2022-03,2022,Mar,Gujarat,Non-Metro,No,35-44,Higher Secondary,Rich,25924806,23984946,1939860,1335004,604856,7.48,8.26,7.59,9.75
2022-04,2022,Apr,Gujarat,Chennai,Yes,45-54,Postgraduate,Lower Middle,25802254,24590072,1212182,833194,378988,4.70,5.49,4.20,10.60
2022-05,2022,May,Gujarat,Non-Metro,No,35-44,Secondary School,Rich,27311759,25953289,1358470,927410,431060,4.97,4.62,5.05,9.39
2022-06,2022,Jun,Gujarat,Bangalore,Yes,45-54,Higher Secondary,Upper Middle,26831601,24152725,2678876,1851414,827462,9.98,10.29,9.17,14.66
2022-07,2022,Jul,Gujarat,Pune,Yes,45-54,Primary School,Lower Middle,26653639,24961044,1692595,1131349,561246,6.35,6.78,4.52,12.12
2022-08,2022,Aug,Gujarat,Chennai,Yes,35-44,Undergraduate,Lower Middle,25388674,23278186,2110488,1299572,810916,8.31,7.81,6.66,10.35
2022-09,2022,Sep,Gujarat,Ahmedabad,Yes,45-54,Primary School,Upper Middle,26862331,25202986,1659345,967325,692020,6.18,6.27,5.24,9.39
2022-10,2022,Oct,Gujarat,Chennai,Yes,25-34,Postgraduate,Upper Middle,27776585,26101129,1675456,964253,711203,6.03,7.99,4.85,8.43
2022-11,2022,Nov,Gujarat,Hyderabad,Yes,25-34,Postgraduate,Rich,26826900,24662922,2163978,1240818,923160,8.07,8.94,6.89,12.02
2022-12,2022,Dec,Gujarat,Non-Metro,No,18-24,Primary School,Poor,25408431,23198083,2210348,1368067,842281,8.70,8.96,8.07,13.60
2023-01,2023,Jan,Gujarat,Pune,Yes,55-60,No Formal Education,Rich,27250708,24344389,2906319,1974350,931969,10.67,12.33,9.78,13.45
2023-02,2023,Feb,Gujarat,Hyderabad,Yes,35-44,Higher Secondary,Upper Middle,26487955,24202494,2285461,1511252,774209,8.63,7.98,9.03,11.12
2023-03,2023,Mar,Gujarat,Mumbai,Yes,18-24,Undergraduate,Lower Middle,26552808,25073228,1479580,1014244,465336,5.57,6.28,5.31,9.53
2023-04,2023,Apr,Gujarat,Pune,Yes,18-24,Undergraduate,Rich,26899889,24107585,2792304,1632029,1160275,10.38,10.22,8.78,15.80
2023-05,2023,May,Gujarat,Hyderabad,Yes,55-60,Postgraduate,Rich,26491594,24513947,1977647,1208309,769338,7.47,8.14,6.58,12.61
2023-06,2023,Jun,Gujarat,Non-Metro,No,45-54,No Formal Education,Upper Middle,25860600,24164016,1696584,1172058,524526,6.56,8.10,6.95,9.26
2023-07,2023,Jul,Gujarat,Pune,Yes,45-54,Undergraduate,Poor,25768878,24533154,1235724,841664,394060,4.80,6.41,5.17,9.30
2023-08,2023,Aug,Gujarat,Mumbai,Yes,18-24,Undergraduate,Poor,27179688,24906728,2272960,1301968,970992,8.36,8.24,7.07,14.16
2023-09,2023,Sep,Gujarat,Pune,Yes,55-60,No Formal Education,Rich,27641749,25628274,2013475,1344743,668732,7.28,8.57,5.75,11.23
2023-10,2023,Oct,Gujarat,Pune,Yes,55-60,Primary School,Poor,26330430,24184658,2145772,1372299,773473,8.15,9.27,7.58,12.85
2023-11,2023,Nov,Gujarat,Bangalore,Yes,45-54,Postgraduate,Poor,26966941,25736229,1230712,763348,467364,4.56,6.12,5.35,10.55
2023-12,2023,Dec,Gujarat,Non-Metro,No,45-54,No Formal Education,Poor,27300977,25033084,2267893,1503749,764144,8.31,7.64,8.13,11.43
2024-01,2024,Jan,Gujarat,Non-Metro,No,35-44,No Formal Education,Poor,27315398,25630691,1684707,1025673,659034,6.17,5.88,6.20,10.43
2024-02,2024,Feb,Gujarat,Delhi,Yes,55-60,Undergraduate,Rich,27654005,26343244,1310761,797071,513690,4.74,5.03,3.00,7.87
2024-03,2024,Mar,Gujarat,Ahmedabad,Yes,35-44,Higher Secondary,Upper Middle,26071156,25118769,952387,565781,386606,3.65,4.49,3.69,6.92
2024-04,2024,Apr,Gujarat,Kolkata,Yes,45-54,Higher Secondary,Lower Middle,27439131,25878770,1560361,1079885,480476,5.69,5.52,4.53,11.54
2024-05,2024,May,Gujarat,Kolkata,Yes,35-44,Higher Secondary,Poor,27815658,25381206,2434452,1452836,981616,8.75,8.02,9.73,12.92
2024-06,2024,Jun,Gujarat,Delhi,Yes,45-54,Postgraduate,Rich,27801702,25036728,2764974,1910180,854794,9.95,9.44,8.67,14.79
2024-07,2024,Jul,Gujarat,Kolkata,Yes,25-34,Postgraduate,Lower Middle,26380263,24998054,1382209,949556,432653,5.24,6.23,5.49,10.26
2024-08,2024,Aug,Gujarat,Bangalore,Yes,35-44,Primary School,Upper Middle,26722618,25525613,1197005,820731,376274,4.48,3.65,2.50,7.33
2024-09,2024,Sep,Gujarat,Chennai,Yes,45-54,Higher Secondary,Upper Middle,26257301,24917610,1339691,914591,425100,5.10,5.00,3.42,8.86
2024-10,2024,Oct,Gujarat,Bangalore,Yes,18-24,Higher Secondary,Poor,27125187,24278473,2846714,1967173,879541,10.49,11.96,9.01,14.44
2024-11,2024,Nov,Gujarat,Non-Metro,No,55-60,No Formal Education,Lower Middle,27709039,25576392,2132647,1216810,915837,7.70,8.34,8.40,11.07
2024-12,2024,Dec,Gujarat,Delhi,Yes,55-60,Higher Secondary,Upper Middle,27133906,25632028,1501878,974417,527461,5.54,6.23,5.51,11.13
2020-01,2020,Jan,Haryana,Ahmedabad,Yes,35-44,Undergraduate,Lower Middle,24344191,22699843,1644348,1018833,625515,6.75,6.40,4.96,11.13
2020-02,2020,Feb,Haryana,Non-Metro,No,45-54,Higher Secondary,Rich,24735581,22957898,1777683,986376,791307,7.19,8.81,7.56,12.18
2020-03,2020,Mar,Haryana,Pune,Yes,25-34,Undergraduate,Rich,23973818,23047149,926669,619974,306695,3.87,3.91,2.02,6.08
2020-04,2020,Apr,Haryana,Ahmedabad,Yes,55-60,No Formal Education,Poor,24622385,22712502,1909883,1181624,728259,7.76,7.17,7.82,13.35
2020-05,2020,May,Haryana,Mumbai,Yes,18-24,Postgraduate,Lower Middle,25114912,23484116,1630796,1091148,539648,6.49,5.96,7.00,9.93
2020-06,2020,Jun,Haryana,Ahmedabad,Yes,55-60,Postgraduate,Poor,25156001,23321303,1834698,1164763,669935,7.29,7.45,6.67,10.51
2020-07,2020,Jul,Haryana,Bangalore,Yes,25-34,Higher Secondary,Lower Middle,24234788,22446056,1788732,992565,796167,7.38,6.86,7.35,13.27
2020-08,2020,Aug,Haryana,Pune,Yes,45-54,Secondary School,Upper Middle,24308753,22388742,1920011,1261856,658155,7.90,9.71,7.88,10.21
2020-09,2020,Sep,Haryana,Ahmedabad,Yes,55-60,Undergraduate,Poor,23924679,21908016,2016663,1361341,655322,8.43,10.13,9.32,12.21
2020-10,2020,Oct,Haryana,Bangalore,Yes,45-54,Secondary School,Rich,24762546,24044404,718142,452249,265893,2.90,4.38,1.03,6.58
2020-11,2020,Nov,Haryana,Non-Metro,No,55-60,Primary School,Rich,24164378,23204797,959581,633057,326524,3.97,3.12,3.36,7.49
2020-12,2020,Dec,Haryana,Non-Metro,No,25-34,Primary School,Poor,23715415,21902802,1812613,1074616,737997,7.64,8.99,6.84,11.42
2021-01,2021,Jan,Haryana,Chennai,Yes,55-60,Postgraduate,Rich,22970058,21223272,1746786,1207860,538926,7.60,7.91,6.35,11.79
2021-02,2021,Feb,Haryana,Hyderabad,Yes,35-44,Secondary School,Lower Middle,23613461,21604982,2008479,1376285,632194,8.51,7.52,9.44,14.37
2021-03,2021,Mar,Haryana,Hyderabad,Yes,35-44,Postgraduate,Poor,23786005,21403774,2382231,1550031,832200,10.02,10.22,10.37,13.08
2021-04,2021,Apr,Haryana,Pune,Yes,18-24,Primary School,Poor,25343085,23919895,1423190,788255,634935,5.62,5.53,4.21,7.88
2021-05,2021,May,Haryana,Non-Metro,No,45-54,Primary School,Poor,24151015,22555369,1595646,1097072,498574,6.61,7.30,5.93,11.80
2021-06,2021,Jun,Haryana,Pune,Yes,18-24,No Formal Education,Lower Middle,24700227,22502315,2197912,1436469,761443,8.90,8.38,7.91,11.21
2021-07,2021,Jul,Haryana,Mumbai,Yes,25-34,Higher Secondary,Poor,25241424,23153334,2088090,1243855,844235,8.27,8.53,6.42,10.43
2021-08,2021,Aug,Haryana,Bangalore,Yes,35-44,Primary School,Rich,24337166,22882142,1455024,886013,569011,5.98,5.01,6.34,9.20
2021-09,2021,Sep,Haryana,Delhi,Yes,25-34,Secondary School,Upper Middle,23911335,22191236,1720099,1197309,522790,7.19,8.32,6.01,12.81
2021-10,2021,Oct,Haryana,Ahmedabad,Yes,45-54,Higher Secondary,Poor,23855861,22426345,1429516,904140,525376,5.99,7.49,6.41,8.89
2021-11,2021,Nov,Haryana,Hyderabad,Yes,55-60,Higher Secondary,Poor,25198293,23114061,2084232,1176140,908092,8.27,7.52,6.90,13.28
2021-12,2021,Dec,Haryana,Bangalore,Yes,55-60,Secondary School,Upper Middle,23074507,21712534,1361973,849708,512265,5.90,6.09,5.49,8.55
2022-01,2022,Jan,Haryana,Chennai,Yes,18-24,Postgraduate,Upper Middle,24787025,22393273,2393752,1371823,1021929,9.66,9.74,8.88,14.38
2022-02,2022,Feb,Haryana,Kolkata,Yes,25-34,Undergraduate,Upper Middle,23087520,21326781,1760739,977563,783176,7.63,8.55,6.41,13.17
2022-03,2022,Mar,Haryana,Hyderabad,Yes,45-54,No Formal Education,Rich,23506220,22007707,1498513,916633,581880,6.37,7.39,6.85,9.96
2022-04,2022,Apr,Haryana,Bangalore,Yes,25-34,Higher Secondary,Poor,23328227,21410636,1917591,1266938,650653,8.22,10.19,6.31,12.00
2022-05,2022,May,Haryana,Kolkata,Yes,18-24,Undergraduate,Poor,23359017,22206864,1152153,694484,457669,4.93,5.85,5.89,10.00
2022-06,2022,Jun,Haryana,Delhi,Yes,45-54,No Formal Education,Rich,23999942,22313958,1685984,1040195,645789,7.02,8.58,5.63,12.76
2022-07,2022,Jul,Haryana,Non-Metro,No,25-34,Higher Secondary,Upper Middle,24294263,22142742,2151521,1434908,716613,8.86,9.27,8.33,11.64
2022-08,2022,Aug,Haryana,Pune,Yes,25-34,Primary School,Rich,24525949,22542865,1983084,1322990,660094,8.09,8.62,6.27,11.24
2022-09,2022,Sep,Haryana,Hyderabad,Yes,25-34,Undergraduate,Lower Middle,23732889,21747077,1985812,1289131,696681,8.37,7.76,8.19,13.77
2022-10,2022,Oct,Haryana,Delhi,Yes,25-34,No Formal Education,Lower Middle,23059294,21470715,1588579,1048657,539922,6.89,7.12,5.27,9.00
2022-11,2022,Nov,Haryana,Delhi,Yes,18-24,Secondary School,Rich,24984774,22638594,2346180,1460278,885902,9.39,10.56,8.87,13.92
2022-12,2022,Dec,Haryana,Bangalore,Yes,45-54,Higher Secondary,Poor,24896620,22915745,1980875,1207705,773170,7.96,7.03,7.04,12.14
2023-01,2023,Jan,Haryana,Chennai,Yes,55-60,Higher Secondary,Rich,23314627,21507128,1807499,1225012,582487,7.75,9.13,7.78,12.47
2023-02,2023,Feb,Haryana,Non-Metro,No,35-44,Undergraduate,Rich,25235802,23312221,1923581,1143325,780256,7.62,7.60,6.01,11.39
2023-03,2023,Mar,Haryana,Pune,Yes,45-54,No Formal Education,Poor,25131391,23328754,1802637,1217842,584795,7.17,7.55,6.67,10.45
2023-04,2023,Apr,Haryana,Non-Metro,No,35-44,No Formal Education,Poor,25111000,23460793,1650207,1067247,582960,6.57,7.71,5.64,9.59
2023-05,2023,May,Haryana,Kolkata,Yes,55-60,No Formal Education,Poor,25006843,23243932,1762911,1222833,540078,7.05,6.30,6.70,10.57
2023-06,2023,Jun,Haryana,Non-Metro,No,18-24,Higher Secondary,Rich,24417337,22854850,1562487,950474,612013,6.40,5.69,4.93,12.35
2023-07,2023,Jul,Haryana,Kolkata,Yes,18-24,Primary School,Poor,25061121,22595843,2465278,1724056,741222,9.84,9.75,9.05,14.53
2023-08,2023,Aug,Haryana,Kolkata,Yes,18-24,Secondary School,Rich,24598663,24100692,497971,297431,200540,2.02,1.41,1.76,6.80
2023-09,2023,Sep,Haryana,Hyderabad,Yes,35-44,Undergraduate,Upper Middle,25059287,22786047,2273240,1420761,852479,9.07,8.63,7.15,12.21
2023-10,2023,Oct,Haryana,Hyderabad,Yes,35-44,Secondary School,Rich,24020892,21945618,2075274,1333500,741774,8.64,8.02,9.53,11.07
2023-11,2023,Nov,Haryana,Kolkata,Yes,35-44,Higher Secondary,Upper Middle,24258469,21320921,2937548,1653559,1283989,12.11,12.74,10.81,16.66
2023-12,2023,Dec,Haryana,Non-Metro,No,35-44,Postgraduate,Lower Middle,24931750,23506749,1425001,792638,632363,5.72,6.51,5.67,8.33
2024-01,2024,Jan,Haryana,Pune,Yes,35-44,Undergraduate,Rich,23278392,21630938,1647454,1126933,520521,7.08,6.65,7.18,11.30
2024-02,2024,Feb,Haryana,Bangalore,Yes,18-24,Undergraduate,Poor,23816965,21953916,1863049,1279357,583692,7.82,9.32,6.73,13.69
2024-03,2024,Mar,Haryana,Hyderabad,Yes,18-24,Undergraduate,Upper Middle,24583958,22554880,2029078,1209504,819574,8.25,8.21,7.99,11.64
2024-04,2024,Apr,Haryana,Mumbai,Yes,45-54,Postgraduate,Lower Middle,24921366,23083920,1837446,1139233,698213,7.37,6.56,6.87,9.80
2024-05,2024,May,Haryana,Non-Metro,No,55-60,Postgraduate,Rich,25332148,23627973,1704175,937343,766832,6.73,6.92,6.09,10.39
2024-06,2024,Jun,Haryana,Mumbai,Yes,18-24,Primary School,Lower Middle,24715350,22461115,2254235,1285597,968638,9.12,8.91,8.70,11.57
2024-07,2024,Jul,Haryana,Chennai,Yes,18-24,Higher Secondary,Upper Middle,23343256,21896903,1446353,942072,504281,6.20,7.29,4.84,8.36
2024-08,2024,Aug,Haryana,Ahmedabad,Yes,55-60,Secondary School,Rich,23829102,21812988,2016114,1138679,877435,8.46,9.08,6.70,12.72
2024-09,2024,Sep,Haryana,Non-Metro,No,35-44,Higher Secondary,Poor,23666468,22106515,1559953,891544,668409,6.59,5.83,7.41,11.61
2024-10,2024,Oct,Haryana,Hyderabad,Yes,35-44,Primary School,Rich,24367785,22270246,2097539,1414298,683241,8.61,10.36,7.69,11.84
2024-11,2024,Nov,Haryana,Non-Metro,No,55-60,Postgraduate,Lower Middle,23731150,21787195,1943955,1357196,586759,8.19,9.00,8.60,12.07
2024-12,2024,Dec,Haryana,Non-Metro,No,25-34,No Formal Education,Lower Middle,23971663,22781425,1190238,832387,357851,4.97,6.39,5.82,7.05
2020-01,2020,Jan,Himachal Pradesh,Hyderabad,Yes,25-34,Secondary School,Upper Middle,36792088,35637830,1154258,639016,515242,3.14,4.84,2.29,6.00
2020-02,2020,Feb,Himachal Pradesh,Non-Metro,No,35-44,Higher Secondary,Upper Middle,36181456,33019017,3162439,1762283,1400156,8.74,9.50,7.80,13.94
2020-03,2020,Mar,Himachal Pradesh,Non-Metro,No,55-60,Secondary School,Rich,36868804,33352131,3516673,2347944,1168729,9.54,11.14,8.03,13.20
2020-04,2020,Apr,Himachal Pradesh,Non-Metro,No,55-60,Postgraduate,Rich,34623049,32051977,2571072,1598564,972508,7.43,8.90,7.79,10.56
2020-05,2020,May,Himachal Pradesh,Non-Metro,No,35-44,Secondary School,Lower Middle,35931202,33303116,2628086,1691960,936126,7.31,6.92,6.47,9.52
2020-06,2020,Jun,Himachal Pradesh,Kolkata,Yes,35-44,Primary School,Rich,36018486,32609543,3408943,2136575,1272368,9.46,9.89,7.49,11.57
2020-07,2020,Jul,Himachal Pradesh,Bangalore,Yes,18-24,Postgraduate,Lower Middle,38190224,34710679,3479545,2019097,1460448,9.11,8.67,8.73,13.69
2020-08,2020,Aug,Himachal Pradesh,Ahmedabad,Yes,18-24,No Formal Education,Lower Middle,34736785,30394185,4342600,3004625,1337975,12.50,12.01,10.88,14.99
2020-09,2020,Sep,Himachal Pradesh,Bangalore,Yes,35-44,No Formal Education,Lower Middle,35874184,34537946,1336238,933263,402975,3.72,5.51,2.00,6.87
2020-10,2020,Oct,Himachal Pradesh,Kolkata,Yes,35-44,No Formal Education,Rich,37017753,34337964,2679789,1542167,1137622,7.24,8.20,6.98,9.33
2020-11,2020,Nov,Himachal Pradesh,Bangalore,Yes,18-24,Higher Secondary,Lower Middle,38075875,35370723,2705152,1534397,1170755,7.10,7.96,5.73,11.46
2020-12,2020,Dec,Himachal Pradesh,Delhi,Yes,18-24,Secondary School,Upper Middle,34979798,32187831,2791967,1674616,1117351,7.98,9.96,6.70,13.48
2021-01,2021,Jan,Himachal Pradesh,Pune,Yes,35-44,Primary School,Rich,36024087,33859798,2164289,1323356,840933,6.01,7.20,5.27,10.32
2021-02,2021,Feb,Himachal Pradesh,Mumbai,Yes,55-60,Primary School,Upper Middle,37600808,34520818,3079990,2065517,1014473,8.19,7.61,7.44,12.39
2021-03,2021,Mar,Himachal Pradesh,Kolkata,Yes,45-54,Undergraduate,Lower Middle,38197300,35139420,3057880,1743855,1314025,8.01,7.04,8.20,12.29
2021-04,2021,Apr,Himachal Pradesh,Non-Metro,No,18-24,Postgraduate,Upper Middle,36150433,35422560,727873,414258,313615,2.01,1.92,2.21,6.82
2021-05,2021,May,Himachal Pradesh,Bangalore,Yes,18-24,Secondary School,Poor,35844033,32867458,2976575,1745970,1230605,8.30,7.98,6.51,13.61
2021-06,2021,Jun,Himachal Pradesh,Chennai,Yes,35-44,Postgraduate,Upper Middle,35497182,32918427,2578755,1601288,977467,7.26,8.35,6.97,12.45
2021-07,2021,Jul,Himachal Pradesh,Bangalore,Yes,55-60,Higher Secondary,Poor,36347398,33303620,3043778,1734884,1308894,8.37,9.46,6.92,11.65
2021-08,2021,Aug,Himachal Pradesh,Hyderabad,Yes,55-60,Secondary School,Lower Middle,36082972,32498821,3584151,2459452,1124699,9.93,9.25,8.32,14.23
2021-09,2021,Sep,Himachal Pradesh,Mumbai,Yes,45-54,No Formal Education,Poor,35027145,33198275,1828870,1075452,753418,5.22,5.70,3.59,9.57
2021-10,2021,Oct,Himachal Pradesh,Pune,Yes,35-44,No Formal Education,Rich,35721118,32235963,3485155,2244597,1240558,9.76,9.64,8.52,13.07
2021-11,2021,Nov,Himachal Pradesh,Non-Metro,No,55-60,Undergraduate,Lower Middle,37448257,35114078,2334179,1418503,915676,6.23,7.00,4.44,11.56
2021-12,2021,Dec,Himachal Pradesh,Non-Metro,No,18-24,Higher Secondary,Lower Middle,35216197,33035165,2181032,1436123,744909,6.19,6.04,5.39,11.44
2022-01,2022,Jan,Himachal Pradesh,Kolkata,Yes,18-24,Higher Secondary,Poor,37965226,34496435,3468791,1918313,1550478,9.14,9.51,8.83,13.79
2022-02,2022,Feb,Himachal Pradesh,Non-Metro,No,55-60,Primary School,Poor,37042050,34001549,3040501,2097219,943282,8.21,8.07,8.85,10.41
2022-03,2022,Mar,Himachal Pradesh,Non-Metro,No,55-60,Higher Secondary,Rich,35503190,32779283,2723907,1588303,1135604,7.67,7.92,6.74,13.32
2022-04,2022,Apr,Himachal Pradesh,Hyderabad,Yes,45-54,Undergraduate,Upper Middle,34717512,32445235,2272277,1424336,847941,6.55,6.70,5.67,12.09
2022-05,2022,May,Himachal Pradesh,Delhi,Yes,18-24,Undergraduate,Lower Middle,35766535,33385713,2380822,1328903,1051919,6.66,7.38,5.28,10.67
2022-06,2022,Jun,Himachal Pradesh,Hyderabad,Yes,45-54,Undergraduate,Upper Middle,35706970,33330294,2376676,1459564,917112,6.66,6.85,4.68,10.75
2022-07,2022,Jul,Himachal Pradesh,Mumbai,Yes,35-44,Postgraduate,Rich,35748969,32900307,2848662,1893730,954932,7.97,8.10,6.99,10.22
2022-08,2022,Aug,Himachal Pradesh,Ahmedabad,Yes,25-34,Higher Secondary,Rich,36340105,33408370,2931735,1660394,1271341,8.07,9.49,8.69,11.28
2022-09,2022,Sep,Himachal Pradesh,Non-Metro,No,18-24,Postgraduate,Rich,37083012,34906226,2176786,1505799,670987,5.87,5.56,4.60,9.09
2022-10,2022,Oct,Himachal Pradesh,Kolkata,Yes,25-34,Undergraduate,Lower Middle,34802650,32071887,2730763,1574473,1156290,7.85,8.83,8.10,13.09
2022-11,2022,Nov,Himachal Pradesh,Mumbai,Yes,55-60,Postgraduate,Rich,37695040,35163552,2531488,1442322,1089166,6.72,7.59,6.63,9.94
2022-12,2022,Dec,Himachal Pradesh,Hyderabad,Yes,45-54,No Formal Education,Upper Middle,37699309,34804992,2894317,2008426,885891,7.68,9.19,7.32,10.43
2023-01,2023,Jan,Himachal Pradesh,Bangalore,Yes,35-44,Higher Secondary,Upper Middle,36770019,34129123,2640896,1635070,1005826,7.18,6.50,7.70,11.87
2023-02,2023,Feb,Himachal Pradesh,Mumbai,Yes,45-54,Higher Secondary,Upper Middle,37107399,33169166,3938233,2380454,1557779,10.61,11.45,9.53,13.92
2023-03,2023,Mar,Himachal Pradesh,Kolkata,Yes,55-60,No Formal Education,Lower Middle,37709560,35223626,2485934,1454174,1031760,6.59,7.92,5.77,9.15
2023-04,2023,Apr,Himachal Pradesh,Mumbai,Yes,25-34,Postgraduate,Upper Middle,34609892,32590272,2019620,1275669,743951,5.84,5.91,4.87,9.92
2023-05,2023,May,Himachal Pradesh,Hyderabad,Yes,35-44,Postgraduate,Lower Middle,36410510,33124362,3286148,2057666,1228482,9.03,8.25,9.01,13.41
2023-06,2023,Jun,Himachal Pradesh,Bangalore,Yes,35-44,Undergraduate,Rich,36081631,33670046,2411585,1479094,932491,6.68,8.24,6.70,9.23
2023-07,2023,Jul,Himachal Pradesh,Non-Metro,No,55-60,Undergraduate,Rich,37286944,34525975,2760969,1647568,1113401,7.40,6.41,6.53,11.69
2023-08,2023,Aug,Himachal Pradesh,Delhi,Yes,18-24,Secondary School,Rich,36312926,33377324,2935602,1994187,941415,8.08,8.62,6.93,13.37
2023-09,2023,Sep,Himachal Pradesh,Mumbai,Yes,18-24,Higher Secondary,Rich,37759400,34489904,3269496,2152694,1116802,8.66,8.39,6.88,13.63
2023-10,2023,Oct,Himachal Pradesh,Pune,Yes,45-54,Higher Secondary,Lower Middle,37158261,33887905,3270356,1913730,1356626,8.80,8.13,7.50,13.80
2023-11,2023,Nov,Himachal Pradesh,Mumbai,Yes,55-60,Secondary School,Upper Middle,34866259,31876198,2990061,1847350,1142711,8.58,10.02,9.21,13.67
2023-12,2023,Dec,Himachal Pradesh,Delhi,Yes,25-34,Higher Secondary,Upper Middle,37014835,35478841,1535994,852105,683889,4.15,5.57,3.11,8.40
2024-01,2024,Jan,Himachal Pradesh,Delhi,Yes,35-44,Undergraduate,Poor,37796918,34463494,3333424,2032709,1300715,8.82,9.42,9.40,12.12
2024-02,2024,Feb,Himachal Pradesh,Hyderabad,Yes,45-54,Secondary School,Lower Middle,38042698,35920058,2122640,1206257,916383,5.58,7.56,6.43,8.13
2024-03,2024,Mar,Himachal Pradesh,Kolkata,Yes,55-60,Postgraduate,Upper Middle,36128973,34567596,1561377,873143,688234,4.32,6.04,3.80,7.64
2024-04,2024,Apr,Himachal Pradesh,Delhi,Yes,25-34,No Formal Education,Lower Middle,34959551,32400692,2558859,1773315,785544,7.32,7.28,5.81,12.45
2024-05,2024,May,Himachal Pradesh,Kolkata,Yes,25-34,Undergraduate,Poor,35021579,32348482,2673097,1498485,1174612,7.63,9.10,7.27,9.94
2024-06,2024,Jun,Himachal Pradesh,Bangalore,Yes,45-54,Secondary School,Poor,38047815,36058104,1989711,1168048,821663,5.23,5.68,3.87,7.69
2024-07,2024,Jul,Himachal Pradesh,Pune,Yes,45-54,Undergraduate,Upper Middle,34623232,32193217,2430015,1629196,800819,7.02,7.53,7.65,12.83
2024-08,2024,Aug,Himachal Pradesh,Kolkata,Yes,25-34,Primary School,Lower Middle,37316690,33764975,3551715,2190761,1360954,9.52,9.45,9.03,14.70
2024-09,2024,Sep,Himachal Pradesh,Hyderabad,Yes,35-44,Primary School,Lower Middle,35137764,32122678,3015086,1905705,1109381,8.58,8.82,6.70,11.68
2024-10,2024,Oct,Himachal Pradesh,Non-Metro,No,18-24,Higher Secondary,Poor,38048547,34395486,3653061,2531735,1121326,9.60,11.16,7.95,14.42
2024-11,2024,Nov,Himachal Pradesh,Non-Metro,No,35-44,Secondary School,Upper Middle,36420048,32928806,3491242,2244994,1246248,9.59,10.49,8.94,13.71
2024-12,2024,Dec,Himachal Pradesh,Delhi,Yes,35-44,No Formal Education,Poor,37284596,34663870,2620726,1766084,854642,7.03,7.71,7.04,12.73
2020-01,2020,Jan,Jharkhand,Mumbai,Yes,25-34,Secondary School,Upper Middle,36038176,33128194,2909982,1706051,1203931,8.07,9.05,7.77,13.81
2020-02,2020,Feb,Jharkhand,Non-Metro,No,45-54,No Formal Education,Rich,36162135,32962213,3199922,2012470,1187452,8.85,9.26,9.25,11.57
2020-03,2020,Mar,Jharkhand,Mumbai,Yes,35-44,Primary School,Poor,34150255,30874520,3275735,2140715,1135020,9.59,10.42,8.31,13.14
2020-04,2020,Apr,Jharkhand,Ahmedabad,Yes,18-24,No Formal Education,Rich,34348273,32704473,1643800,940376,703424,4.79,6.52,2.80,8.72
2020-05,2020,May,Jharkhand,Ahmedabad,Yes,25-34,Secondary School,Poor,37379481,35040915,2338566,1342931,995635,6.26,6.90,6.91,10.47
2020-06,2020,Jun,Jharkhand,Chennai,Yes,55-60,Undergraduate,Lower Middle,35975875,33981705,1994170,1155259,838911,5.54,5.15,6.21,8.00
2020-07,2020,Jul,Jharkhand,Non-Metro,No,55-60,Secondary School,Upper Middle,36150003,33618990,2531013,1611862,919151,7.00,6.65,7.62,9.35
